Sample	posterior	ESS(posterior)	likelihood	prior
0	-9930.550973470876	N	-9925.839347033028	-4.711626437847129
1000	-6520.476151660848	2.0	-6516.996502083161	-3.4796495776864083
2000	-6519.988320119837	3.0	-6517.850666337645	-2.1376537821925554
3000	-6520.70591474207	4.0	-6516.147321338517	-4.558593403552373
4000	-6518.31587771665	5.0	-6516.1735181600825	-2.142359556567442
5000	-6519.725277621172	6.0	-6516.516693470958	-3.208584150214361
6000	-6519.7059632251	7.0	-6517.443693018571	-2.2622702065293376
7000	-6517.3097915544495	8.0	-6515.05331034525	-2.256481209199315
8000	-6517.936868065379	9.0	-6515.056522715589	-2.8803453497894935
9000	-6521.741505680104	9.0	-6519.386956360997	-2.3545493191069315
10000	-6517.36398999303	10.0	-6515.299163341968	-2.064826651062192
11000	-6519.799441991454	11.0	-6517.446815153932	-2.352626837522128
12000	-6518.9913365019665	12.0	-6516.250680327569	-2.7406561743974027
13000	-6521.395735312121	13.0	-6519.229410467158	-2.166324844963248
14000	-6516.730777731399	14.0	-6514.929920864784	-1.800856866614355
15000	-6518.975686062948	15.0	-6516.974455652584	-2.0012304103634335
16000	-6519.04244700209	16.0	-6516.0367769419145	-3.0056700601753956
17000	-6519.955790401586	17.0	-6516.328747920245	-3.627042481339754
18000	-6519.363613492862	18.0	-6517.220258813259	-2.1433546796036707
19000	-6522.59438082765	18.0	-6516.985689427119	-5.608691400530566
20000	-6519.416687949422	19.0	-6517.140437079198	-2.2762508702240787
21000	-6517.826972380956	20.0	-6515.200718620943	-2.6262537600127915
22000	-6521.133638332074	21.0	-6517.60480274547	-3.52883558660427
23000	-6518.506947670569	22.0	-6516.278869675914	-2.2280779946546767
24000	-6519.456663091895	23.0	-6517.789365681306	-1.6672974105892313
25000	-6517.77369835814	24.0	-6514.66466963642	-3.1090287217206987
26000	-6516.599324220132	25.0	-6514.681261834455	-1.918062385677267
27000	-6522.28215026394	26.0	-6519.290994395166	-2.9911558687737783
28000	-6518.192606772781	27.0	-6515.600213655014	-2.592393117766663
29000	-6518.172694088338	27.0	-6515.678100989972	-2.4945930983662326
30000	-6517.949803569141	28.0	-6516.409781652264	-1.5400219168769573
31000	-6520.965268637985	29.0	-6518.384219112689	-2.5810495252963648
32000	-6516.054543494945	30.0	-6514.242410003577	-1.8121334913684413
33000	-6520.282236937274	31.0	-6517.872426501434	-2.4098104358397228
34000	-6516.878146405667	32.0	-6513.785075540848	-3.093070864819687
35000	-6519.0692660428695	33.0	-6515.252232670505	-3.8170333723645586
36000	-6518.287467884954	34.0	-6516.704838632007	-1.5826292529474397
37000	-6519.541433113349	35.0	-6517.501153441785	-2.0402796715638534
38000	-6518.991785620477	36.0	-6515.917432487696	-3.0743531327809555
39000	-6524.025231061744	36.0	-6521.5971213121	-2.428109749643811
40000	-6521.184278619396	37.0	-6518.676718906953	-2.5075597124427946
41000	-6518.647261415216	38.0	-6516.499582622096	-2.147678793120737
42000	-6519.614769751697	39.0	-6517.647634573196	-1.9671351785011901
43000	-6518.705290744763	40.0	-6514.959907984978	-3.7453827597857305
44000	-6517.59396185541	41.0	-6515.442455661644	-2.151506193765791
45000	-6523.53868117954	42.0	-6520.64652302135	-2.8921581581894973
46000	-6520.087713961062	43.0	-6517.274148791804	-2.813565169258613
47000	-6517.856151145985	44.0	-6515.690337087118	-2.1658140588667982
48000	-6519.002210838222	45.0	-6517.2063355839955	-1.7958752542264775
49000	-6517.775334651337	45.0	-6515.618250100726	-2.157084550611506
50000	-6518.691012845028	46.0	-6515.451177113619	-3.2398357314090456
51000	-6519.331965802693	47.0	-6517.063648513927	-2.268317288766407
52000	-6519.5383715653315	48.0	-6515.267530906279	-4.270840659052388
53000	-6518.055332636083	49.0	-6515.918077480622	-2.137255155461295
54000	-6517.953073400702	50.0	-6515.229000122261	-2.724073278441363
55000	-6518.881965100069	51.0	-6517.616881077486	-1.265084022582665
56000	-6517.849745123174	52.0	-6514.684634095442	-3.1651110277328343
57000	-6519.9425938442855	53.0	-6517.0347416504965	-2.9078521937887634
58000	-6517.291702292157	54.0	-6514.105325166207	-3.186377125950126
59000	-6520.557083039338	54.0	-6517.718808894576	-2.8382741447618023
60000	-6519.579577109749	55.0	-6518.02270451812	-1.5568725916290163
61000	-6517.735811268247	56.0	-6515.473823644652	-2.261987623595195
62000	-6519.755718699035	57.0	-6516.877695684787	-2.878023014247922
63000	-6521.75092273187	58.0	-6519.974770801444	-1.7761519304260553
64000	-6519.168706106968	59.0	-6516.938261582354	-2.2304445246132385
65000	-6521.29881606624	60.0	-6518.324232549278	-2.9745835169612986
66000	-6518.873769394399	61.0	-6515.30428243214	-3.5694869622583694
67000	-6520.064801864414	62.0	-6517.7770965317	-2.287705332714026
68000	-6519.043532677398	63.0	-6516.523690296605	-2.5198423807920216
69000	-6522.690025874613	63.0	-6520.245080611074	-2.4449452635394255
70000	-6524.4706745029935	64.0	-6521.675868916089	-2.794805586904414
71000	-6517.942060953276	65.0	-6515.658946478257	-2.2831144750192
72000	-6517.472232764917	66.0	-6515.466795388066	-2.005437376850531
73000	-6520.819758883562	67.0	-6518.154443226993	-2.6653156565686387
74000	-6519.089070338119	68.0	-6517.14844907773	-1.9406212603893893
75000	-6518.258471396294	69.0	-6516.474509927097	-1.783961469197699
76000	-6521.62680601433	70.0	-6518.0840575890925	-3.5427484252374573
77000	-6517.04422673475	71.0	-6515.498250719596	-1.5459760151532196
78000	-6520.543604563781	72.0	-6518.099344006258	-2.444260557522472
79000	-6517.722131092256	72.0	-6515.070907082507	-2.6512240097489808
80000	-6517.973283017975	73.0	-6515.41070571701	-2.5625773009643957
81000	-6520.739767534644	74.0	-6518.418363379691	-2.3214041549529947
82000	-6520.423793720306	75.0	-6518.044905850135	-2.3788878701705096
83000	-6517.162280438416	76.0	-6515.201121632117	-1.9611588062990162
84000	-6517.93271751912	77.0	-6514.737555878447	-3.1951616406727696
85000	-6516.709606716194	78.0	-6515.0461841907145	-1.6634225254793584
86000	-6521.218878308593	79.0	-6519.043424100935	-2.175454207657932
87000	-6518.138772988097	80.0	-6516.202715201372	-1.9360577867252626
88000	-6522.907174228806	81.0	-6515.8972366369735	-7.009937591832602
89000	-6518.7078122438	81.0	-6516.352312871139	-2.3554993726608338
90000	-6519.322136528642	82.0	-6517.767188267051	-1.5549482615904977
91000	-6518.0854405234095	83.0	-6515.180260341309	-2.9051801821007155
92000	-6517.456509806817	84.0	-6515.1728218331	-2.283687973716562
93000	-6517.34107666728	85.0	-6514.966232432631	-2.3748442346489655
94000	-6519.164393736741	86.0	-6517.337715461756	-1.8266782749847446
95000	-6522.658301622032	87.0	-6518.3255284498655	-4.332773172166926
96000	-6519.056610508959	88.0	-6515.990373934805	-3.066236574154874
97000	-6519.037187103549	89.0	-6516.404821811011	-2.632365292537329
98000	-6517.541070209885	90.0	-6515.422880364994	-2.118189844891534
99000	-6524.9017878128925	90.0	-6520.857863100898	-4.043924711995134
100000	-6519.935226857152	91.0	-6517.193396131182	-2.7418307259694306
101000	-6517.461308984986	92.0	-6515.958846949029	-1.5024620359568166
102000	-6518.829534053628	93.0	-6517.204626350932	-1.6249077026957899
103000	-6520.151890685491	94.0	-6516.46909257876	-3.682798106730542
104000	-6519.786527302621	95.0	-6516.002573559363	-3.783953743257931
105000	-6522.1231278646055	96.0	-6518.042700408545	-4.080427456060391
106000	-6520.237082569134	97.0	-6518.119852145657	-2.1172304234773844
107000	-6517.420729713213	98.0	-6515.334290694537	-2.08643901867576
108000	-6519.830521794806	99.0	-6516.985373184135	-2.845148610671677
109000	-6516.911299505761	99.0	-6514.883638754001	-2.027660751759618
110000	-6519.239875402172	100.0	-6515.194792998158	-4.045082404014039
111000	-6519.229944118765	101.0	-6517.576333022527	-1.6536110962377601
112000	-6521.258525132658	102.0	-6518.504926122845	-2.753599009812822
113000	-6521.176089532644	103.0	-6518.1947271798435	-2.981362352800902
114000	-6520.607006488739	104.0	-6518.757551200707	-1.8494552880321597
115000	-6518.0446489166025	105.0	-6516.391613985357	-1.6530349312453096
116000	-6517.145916776581	106.0	-6514.715311124025	-2.430605652555775
117000	-6520.123715398074	107.0	-6517.634844969649	-2.488870428424578
118000	-6519.253498495696	108.0	-6515.707675060447	-3.5458234352477156
119000	-6519.431005701825	108.0	-6517.821033885623	-1.609971816201396
120000	-6526.074026265591	109.0	-6522.451320316437	-3.622705949153736
121000	-6521.334667627166	110.0	-6518.841370367631	-2.493297259535336
122000	-6517.171107533993	111.0	-6515.138247541116	-2.0328599928773823
123000	-6518.28168037393	112.0	-6516.398273425146	-1.8834069487837497
124000	-6516.90299249201	113.0	-6514.590126470006	-2.3128660220037487
125000	-6522.7256734026705	114.0	-6520.658888217837	-2.066785184833856
126000	-6517.979408700335	115.0	-6515.372722323084	-2.606686377250729
127000	-6516.570450969782	116.0	-6514.446648416628	-2.123802553153717
