#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true_alignment" name="distribution" x="@birthRate.t:true_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-86246.04951998791	-86237.47287580356	-8.576644184342559	-86237.47287580356	1.6293722034828775	-8.576644184342559	1.0
1000	-47803.93633451487	-47773.434661518884	-30.501672995981835	-47773.434661518884	1.6036385455760556	-30.501672995981835	1.1725013059868494
2000	-43696.76431793621	-43677.16554420807	-19.598773728144447	-43677.16554420807	1.1047916952681374	-19.598773728144447	1.5751777786538987
3000	-42595.67811866626	-42576.29255367311	-19.385564993151107	-42576.29255367311	1.021790404090441	-19.385564993151107	1.9683597243343876
4000	-42335.57482364121	-42319.00962819162	-16.565195449591783	-42319.00962819162	1.006162261170683	-16.565195449591783	1.4678753061692251
5000	-42231.02385678892	-42217.74228760831	-13.281569180611703	-42217.74228760831	0.9694867513480759	-13.281569180611703	1.8825129559991076
6000	-42175.61167961185	-42161.376536464064	-14.235143147784932	-42161.376536464064	0.986168592636338	-14.235143147784932	1.8181249964233197
7000	-42159.52637497382	-42145.6283595748	-13.898015399022732	-42145.6283595748	0.970150599349054	-13.898015399022732	1.6372251515294465
8000	-42166.473476829575	-42151.37008215007	-15.10339467950887	-42151.37008215007	1.0030438979888818	-15.10339467950887	1.57270985931245
9000	-42155.67235994478	-42140.115005787025	-15.557354157754366	-42140.115005787025	0.9640335656738599	-15.557354157754366	2.658346970274384
10000	-42156.21893615529	-42142.64552269165	-13.573413463634727	-42142.64552269165	0.9883191045244418	-13.573413463634727	1.93346039426211
11000	-42168.255219689345	-42154.25800566743	-13.997214021920865	-42154.25800566743	0.9883191045244418	-13.997214021920865	1.5253775268625263
12000	-42159.09109597033	-42145.605749239396	-13.485346730936016	-42145.605749239396	0.9891702652809967	-13.485346730936016	1.9604269964862824
13000	-42166.52869870861	-42152.12518081884	-14.403517889768448	-42152.12518081884	1.020925486877306	-14.403517889768448	1.9066773284483653
14000	-42169.317919219684	-42152.6608323359	-16.657086883784014	-42152.6608323359	1.0490874647182273	-16.657086883784014	2.487644545270512
15000	-42157.458501846486	-42143.795428764824	-13.663073081657796	-42143.795428764824	0.9920488617123756	-13.663073081657796	2.030107880661774
16000	-42161.779226166684	-42146.95216660997	-14.82705955671711	-42146.95216660997	0.9877743143142874	-14.82705955671711	1.9328061922368904
17000	-42169.45137571459	-42154.38193679289	-15.06943892170017	-42154.38193679289	0.9736930656603435	-15.06943892170017	1.485914526713396
18000	-42170.58386240466	-42156.09009543705	-14.493766967610538	-42156.09009543705	0.9818470369659581	-14.493766967610538	1.7084574512286599
19000	-42164.474717768266	-42151.911864070134	-12.562853698130215	-42151.911864070134	0.9512284408082559	-12.562853698130215	1.9358311890661797
20000	-42159.55484681009	-42145.65883785313	-13.896008956960415	-42145.65883785313	0.9629027738638186	-13.896008956960415	1.613483067893747
21000	-42152.21555406992	-42137.32546847879	-14.890085591125633	-42137.32546847879	0.9629027738638186	-14.890085591125633	2.397765582670763
