#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment" name="distribution" x="@birthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-6354.130086833048	-6351.449337178996	-2.680749654052698	-6351.449337178996	0.6570303047992402	-2.680749654052698	1.0
1000	-4976.529726946118	-4973.603376056648	-2.9263508894701	-4973.603376056648	0.9272132220465591	-2.9263508894701	0.7911394176194928
2000	-4976.357956611011	-4973.807289377391	-2.550667233620943	-4973.807289377391	1.0068054682064398	-2.550667233620943	1.061629992179511
3000	-4979.294878364718	-4976.629396792643	-2.665481572075147	-4976.629396792643	1.0442443761929805	-2.665481572075147	1.9042086159540377
4000	-4975.686118632715	-4973.312997278585	-2.3731213541308502	-4973.312997278585	1.0039293126686484	-2.3731213541308502	1.5972757315167956
5000	-4976.0674134565	-4973.511032557566	-2.5563808989332975	-4973.511032557566	1.0121459721472434	-2.5563808989332975	1.1007456415729313
6000	-4977.7457270812165	-4974.835017861583	-2.910709219633477	-4974.835017861583	0.9748280717999686	-2.910709219633477	0.8194794399229582
7000	-4978.190730463851	-4975.927883159954	-2.2628473038968973	-4975.927883159954	0.9069820306731164	-2.2628473038968973	1.1436757869827012
8000	-4976.474688982334	-4974.177426502929	-2.2972624794045164	-4974.177426502929	0.9560028687521978	-2.2972624794045164	1.546770122405243
9000	-4976.930552143543	-4974.810696153845	-2.11985598969753	-4974.810696153845	0.9169077019953094	-2.11985598969753	1.527864143394252
10000	-4982.137767228833	-4975.759064846456	-6.378702382377282	-4975.759064846456	1.1368365597834418	-6.378702382377282	3.992370598470668
11000	-4976.642114895447	-4973.157916055623	-3.484198839824182	-4973.157916055623	0.9943376265330426	-3.484198839824182	2.906456701056541
12000	-4976.0206311262555	-4973.722146511842	-2.2984846144133866	-4973.722146511842	0.9309556707482564	-2.2984846144133866	2.0480615104313267
13000	-4977.435132401124	-4974.6972081855865	-2.7379242155378223	-4974.6972081855865	1.1357193030853308	-2.7379242155378223	1.2264046967364357
14000	-4976.248175428792	-4974.105748998947	-2.14242642984461	-4974.105748998947	0.913385171689084	-2.14242642984461	1.3791164829105926
15000	-4976.682578108876	-4973.979208199677	-2.7033699091995054	-4973.979208199677	1.0944788112219639	-2.7033699091995054	1.2129209008350312
16000	-4976.841735184698	-4974.500360487583	-2.3413746971152416	-4974.500360487583	0.9831930403959992	-2.3413746971152416	1.21795335856994
17000	-4976.815876382585	-4974.208863875427	-2.6070125071583767	-4974.208863875427	1.0549295914602053	-2.6070125071583767	1.250413863612297
18000	-4981.467333530137	-4975.336126376699	-6.131207153437719	-4975.336126376699	1.0064832816841256	-6.131207153437719	4.669313796570632
19000	-4977.579120766933	-4974.6457001664585	-2.933420600473992	-4974.6457001664585	0.9091470878821858	-2.933420600473992	2.8812575038126065
20000	-4977.123060422026	-4974.586752658885	-2.536307763140642	-4974.586752658885	0.9320122900141163	-2.536307763140642	1.0126942925249116
21000	-4977.308935132503	-4975.008545996417	-2.3003891360870594	-4975.008545996417	0.9681408981322945	-2.3003891360870594	1.5851544583754598
